e-0-1     | 02:41:12.222 [W0] INFO:	sim_time 9_306_912_661us: CameraFrameEvent(camera_front_tele_30fov, 9_306_882_661->9_306_912_661us)
runtime-0-1     | 02:41:12.393 [W0] INFO:	sim_time 9_306_912_661us: CameraFrameEvent(camera_front_wide_120fov, 9_306_882_661->9_306_912_661us)
runtime-0-1     | 02:41:12.562 [W0] INFO:	sim_time 9_306_912_661us: PolicyEvent @ 9_306_912_661us
runtime-0-1     | 02:41:12.563 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:14,867][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Nudge right due to the car encroaching from the left']
runtime-0-1     | 02:41:14.894 [W0] INFO:	sim_time 9_306_912_661us: ControllerEvent @ 9_306_912_661us
runtime-0-1     | 02:41:14.901 [W0] INFO:	sim_time 9_306_912_661us: PhysicsEvent @ 9_306_912_661us
runtime-0-1     | 02:41:14.901 [W0] INFO:	sim_time 9_306_912_661us: TrafficEvent @ 9_306_912_661us
runtime-0-1     | 02:41:14.906 [W0] INFO:	sim_time 9_306_912_661us: PhysicsEvent @ 9_306_912_661us
runtime-0-1     | 02:41:14.906 [W0] INFO:	sim_time 9_306_912_661us: StepEvent @ 9_306_912_661us
runtime-0-1     | 02:41:14.908 [W0] INFO:	sim_time 9_307_012_661us: CameraFrameEvent(camera_front_tele_30fov, 9_306_982_661->9_307_012_661us)
runtime-0-1     | 02:41:15.228 [W0] INFO:	sim_time 9_307_012_661us: CameraFrameEvent(camera_front_wide_120fov, 9_306_982_661->9_307_012_661us)
runtime-0-1     | 02:41:15.389 [W0] INFO:	sim_time 9_307_012_661us: CameraFrameEvent(camera_cross_left_120fov, 9_306_982_661->9_307_012_661us)
runtime-0-1     | 02:41:15.507 [W0] INFO:	sim_time 9_307_012_661us: CameraFrameEvent(camera_cross_right_120fov, 9_306_982_661->9_307_012_661us)
runtime-0-1     | 02:41:15.715 [W0] INFO:	sim_time 9_307_012_661us: PolicyEvent @ 9_307_012_661us
runtime-0-1     | 02:41:15.716 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:18,074][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Accelerate to proceed through the intersection since the straight traffic light turns green']
runtime-0-1     | 02:41:18.113 [W0] INFO:	sim_time 9_307_012_661us: ControllerEvent @ 9_307_012_661us
runtime-0-1     | 02:41:18.121 [W0] INFO:	sim_time 9_307_012_661us: PhysicsEvent @ 9_307_012_661us
runtime-0-1     | 02:41:18.121 [W0] INFO:	sim_time 9_307_012_661us: TrafficEvent @ 9_307_012_661us
runtime-0-1     | 02:41:18.122 [W0] INFO:	sim_time 9_307_012_661us: PhysicsEvent @ 9_307_012_661us
runtime-0-1     | 02:41:18.122 [W0] INFO:	sim_time 9_307_012_661us: StepEvent @ 9_307_012_661us
runtime-0-1     | 02:41:18.124 [W0] INFO:	sim_time 9_307_112_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_082_661->9_307_112_661us)
runtime-0-1     | 02:41:18.358 [W0] INFO:	sim_time 9_307_112_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_082_661->9_307_112_661us)
runtime-0-1     | 02:41:18.507 [W0] INFO:	sim_time 9_307_112_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_082_661->9_307_112_661us)
runtime-0-1     | 02:41:18.698 [W0] INFO:	sim_time 9_307_112_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_082_661->9_307_112_661us)
runtime-0-1     | 02:41:18.905 [W0] INFO:	sim_time 9_307_112_661us: PolicyEvent @ 9_307_112_661us
runtime-0-1     | 02:41:18.906 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:21,218][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the cut-in vehicle since it merges into our lane ahead']
runtime-0-1     | 02:41:21.251 [W0] INFO:	sim_time 9_307_112_661us: ControllerEvent @ 9_307_112_661us
runtime-0-1     | 02:41:21.258 [W0] INFO:	sim_time 9_307_112_661us: PhysicsEvent @ 9_307_112_661us
runtime-0-1     | 02:41:21.259 [W0] INFO:	sim_time 9_307_112_661us: TrafficEvent @ 9_307_112_661us
runtime-0-1     | 02:41:21.259 [W0] INFO:	sim_time 9_307_112_661us: PhysicsEvent @ 9_307_112_661us
runtime-0-1     | 02:41:21.260 [W0] INFO:	sim_time 9_307_112_661us: StepEvent @ 9_307_112_661us
runtime-0-1     | 02:41:21.261 [W0] INFO:	sim_time 9_307_212_661us: CameraFrameEvent(camera_front_tele_30fov, 9_307_182_661->9_307_212_661us)
runtime-0-1     | 02:41:21.525 [W0] INFO:	sim_time 9_307_212_661us: CameraFrameEvent(camera_cross_right_120fov, 9_307_182_661->9_307_212_661us)
runtime-0-1     | 02:41:21.757 [W0] INFO:	sim_time 9_307_212_661us: CameraFrameEvent(camera_front_wide_120fov, 9_307_182_661->9_307_212_661us)
runtime-0-1     | 02:41:21.912 [W0] INFO:	sim_time 9_307_212_661us: CameraFrameEvent(camera_cross_left_120fov, 9_307_182_661->9_307_212_661us)
runtime-0-1     | 02:41:22.029 [W0] INFO:	sim_time 9_307_212_661us: PolicyEvent @ 9_307_212_661us
runtime-0-1     | 02:41:22.029 [W0] INFO:	Draining 6 outstanding tasks
driver-0-1      | [2026-06-10 02:41:24,363][alpasim_driver.models.alpamayo_base][INFO] - Alpamayo15Model Chain-of-Causation: ['Keep distance to the cut-in vehicle since it merges into our lane ahead']
runtime-0-1     | 02:41:24.388 [W0] INFO:	sim_time 9_307_212_661us: ControllerEvent @ 9_307_212_661us
runtime-0-1     | 02:41:24.395 [W0] INFO:	sim_time 9_307_212_661us: PhysicsEvent @ 9_307_212_661us
runtime-0-1     | 02:41:24.395 [W0] INFO:	sim_time 9_307_212_661us: TrafficEvent @ 9_307_212_661us
runtime-0-1     | 02:41:24.396 [W0] INFO:	sim_time 9_307_212_661us: PhysicsEvent @ 9_307_212_661us
